,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
98,2799,26548061,26555590,62290.875306,62440.53,418883.4885059919,0.002402513903759118,2021-11-05 04:00:00+00:00,2021-11-05 06:05:29+00:00,0 days 02:05:29
99,-2133,26584061,26586002,61686.827366,61500.01,398481.4416779908,0.003028480698019531,2021-11-05 14:00:00+00:00,2021-11-05 14:32:20+00:00,0 days 00:32:20
100,2874,26692062,26698419,61261.656414000005,61470.0,598779.4661639868,0.0034008807171654887,2021-11-06 20:00:00+00:00,2021-11-06 21:45:56+00:00,0 days 01:45:56
101,-2068,27455263,27456868,64186.892368,63982.0,423717.4170240015,0.0031921216379396933,2021-11-15 16:00:00+00:00,2021-11-15 16:26:45+00:00,0 days 00:26:45
102,-2297,27714463,27715723,58016.283332000006,57833.0,421001.8136040146,0.003159170520303123,2021-11-18 16:00:00+00:00,2021-11-18 16:21:00+00:00,0 days 00:21:00
103,3068,27829663,27830334,58133.52315,58320.0,572110.9757999972,0.003207733505482535,2021-11-20 00:00:00+00:00,2021-11-20 00:11:10+00:00,0 days 00:11:10
104,-2264,27995264,27997353,59388.829074,59209.77,405389.7435360098,0.0030150295399307137,2021-11-21 22:00:00+00:00,2021-11-21 22:34:48+00:00,0 days 00:34:48
105,3142,28045665,28047357,57262.53547200001,57438.79,553791.7269759697,0.0030780077505678793,2021-11-22 12:00:00+00:00,2021-11-22 12:28:11+00:00,0 days 00:28:11
106,-2364,28067266,28068675,57350.756376000005,57170.0,427308.0728640114,0.00315176969619968,2021-11-22 18:00:00+00:00,2021-11-22 18:23:28+00:00,0 days 00:23:28
107,588,28228446,28231599,55963.379196,56764.68,471164.8727519992,0.014318306283714666,2021-11-24 14:46:18+00:00,2021-11-24 15:38:51+00:00,0 days 00:52:33
108,756,28224846,28231599,56357.04956400001,56764.68,308168.6096159941,0.007232998163558602,2021-11-24 13:46:18+00:00,2021-11-24 15:38:51+00:00,0 days 01:52:33
109,952,28214867,28231599,56506.818948,56764.68,245483.7215040002,0.004563361675646638,2021-11-24 10:59:59+00:00,2021-11-24 15:38:51+00:00,0 days 04:38:52
110,3197,28211267,28231599,56770.627764000004,56764.68,-19015.001508013105,-0.00010476833239769778,2021-11-24 10:00:00+00:00,2021-11-24 15:38:51+00:00,0 days 05:38:51
111,-2376,28362468,28366911,57804.230622,57627.01,421076.19787200174,0.003065876322425276,2021-11-26 04:00:00+00:00,2021-11-26 05:14:02+00:00,0 days 01:14:02
112,-2422,28859269,28860330,56905.16108400001,56731.37,420922.0054480098,0.003054047834843421,2021-12-01 22:00:00+00:00,2021-12-01 22:17:41+00:00,0 days 00:17:41
113,-624,29839595,29846124,49127.025740000005,48552.64,358416.7017600032,0.011691848455061882,2021-12-13 06:18:46+00:00,2021-12-13 08:07:35+00:00,0 days 01:48:49
114,-805,29835995,29846124,48983.12748,48552.64,346542.4214000027,0.008788484977317434,2021-12-13 05:18:46+00:00,2021-12-13 08:07:35+00:00,0 days 02:48:49
115,-1031,29832145,29846124,48854.647604,48552.64,311369.8397239985,0.006181757904549334,2021-12-13 04:14:36+00:00,2021-12-13 08:07:35+00:00,0 days 03:52:59
