,model_name,LMSWithSlopes_lms_threshold,LMSWithSlopes_long_slope_thresh,LMSWithSlopes_short_slope_thresh,total_return,win_rate,sharpe_ratio,sortino_ratio,max_drawdown,profit_factor,long_count,short_count,long_pnl_sum,short_pnl_sum,combined_weight,long_short_count,long_vs_short_diff_pct,LMSWithSlopes_lms_threshold_RID0026,LMSWithSlopes_long_slope_thresh_RID0026,LMSWithSlopes_short_slope_thresh_RID0026,LMSWithSlopes_lms_threshold_RID0030,LMSWithSlopes_long_slope_thresh_RID0030,LMSWithSlopes_short_slope_thresh_RID0030,LMSWithSlopes_lms_threshold_RID0031,LMSWithSlopes_long_slope_thresh_RID0031,LMSWithSlopes_short_slope_thresh_RID0031,LMSWithSlopes_lms_threshold_RID0047,LMSWithSlopes_long_slope_thresh_RID0047,LMSWithSlopes_short_slope_thresh_RID0047,LMSWithSlopes_lms_threshold_RID0048,LMSWithSlopes_long_slope_thresh_RID0048,LMSWithSlopes_short_slope_thresh_RID0048,LMSWithSlopes_lms_threshold_RID0029,LMSWithSlopes_long_slope_thresh_RID0029,LMSWithSlopes_short_slope_thresh_RID0029,LMSWithSlopes_lms_threshold_RID0032,LMSWithSlopes_long_slope_thresh_RID0032,LMSWithSlopes_short_slope_thresh_RID0032,LMSWithSlopes_lms_threshold_RID0033,LMSWithSlopes_long_slope_thresh_RID0033,LMSWithSlopes_short_slope_thresh_RID0033,LMSWithSlopes_lms_threshold_RID0044,LMSWithSlopes_long_slope_thresh_RID0044,LMSWithSlopes_short_slope_thresh_RID0044,LMSWithSlopes_lms_threshold_RID0045,LMSWithSlopes_long_slope_thresh_RID0045,LMSWithSlopes_short_slope_thresh_RID0045,LMSWithSlopes_lms_threshold_RID0046,LMSWithSlopes_long_slope_thresh_RID0046,LMSWithSlopes_short_slope_thresh_RID0046
119,RID0026_RID0030_RID0031_RID0047_RID0048_majority_union,,,,9.829072384659094,0.5221206581352834,9.14671585964096,13.24607978915842,-0.3731605642454121,1.2928504046060671,1417,1318,59188.696327925405,39102.02751866559,503.89558317428543,2735,0.03619744058500918,0.9582903739707224,-3.629216862652794e-05,-0.0003266782761977,1.038645828592366,-0.0008348456029706,0.0008348452913612,1.132991988597245,-0.0001088929877106,-0.0001814872484576,0.6217139360719715,-0.0004718649424467,0.0001088749994452,1.126918395274672,-0.0007622413344596,0.000326671093139,,,,,,,,,,,,,,,,,,
120,RID0026_RID0030_RID0031_average,0.7123581988505748,-0.0003985527862606,0.000178220915765,6.040003508401025,0.566145092460882,11.368068713704355,16.489622460789374,-0.2655887764030286,1.4443818320258928,430,273,47858.02212816295,12542.012955847487,679.9604657125332,703,0.22332859174964437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,RID0026_RID0030_RID0031_average,1.110939981034483,-0.000614078396631,0.0004667905756326,7.2037869653392015,0.5082824760244115,10.244017582758367,14.960473518343433,-0.3220712720317271,1.2304923247339143,1172,1122,47393.22744630371,24644.64220708847,468.1064227968437,2294,0.021795989537924998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,RID0026_RID0030_RID0031_average,1.0384705660919544,-0.000614078396631,0.0004667905756326,7.011435855644674,0.5057471264367817,10.169468567416509,14.85077400525202,-0.3222113448610241,1.2432355382678275,1112,1063,46073.96951159367,24040.389044853266,451.2689452994085,2175,0.022528735632183938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,RID0026_RID0030_RID0031_average,1.1471746885057474,-0.000614078396631,0.0004667905756326,6.8705029319782405,0.5064822817631807,10.05699474378042,14.676986067206077,-0.3220712720317248,1.2289765095421876,1181,1133,44131.12807656719,24573.9012432151,427.942590588465,2314,0.02074330164217808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,RID0026_RID0030_RID0031_average,0.8572970287356324,-0.000614078396631,0.0003946481606657,5.697232281796729,0.516783762685402,9.716347617402004,14.082947173551998,-0.2316020560004313,1.329566893952572,714,567,41156.85418492914,15815.468633038434,411.59090276640853,1281,0.1147540983606557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,RID0026_RID0030_RID0031_average,0.9297664436781612,-0.0009014458771249,0.0007553602355003,4.468363247588349,0.5217391304347826,10.276718447234568,15.057276491906354,-0.2305937066082676,1.475968297797382,334,195,33263.51760755105,11420.114868332528,409.671289020066,529,0.2627599243856333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,RID0026_RID0030_RID0031_average,0.821062321264368,-0.000614078396631,0.0003946481606657,5.631758349647943,0.52321083172147,9.90964593257024,14.416516263199766,-0.3041041477679133,1.3595914994205474,593,441,39029.44588047252,17288.137616006905,398.28311061476234,1034,0.14700193423597674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,RID0026_RID0030_RID0031_average,1.3283482258620691,-0.000614078396631,0.0004667905756326,6.5815961444984366,0.50491243058522,9.892760937364653,14.434529534785945,-0.3220712720317248,1.222976713699666,1194,1147,42641.75581651901,23174.205628465043,393.43198710991777,2341,0.020076890217855636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,RID0026_RID0030_RID0031_average,1.3645829333333337,-0.000614078396631,0.0004667905756326,6.5815961444984366,0.50491243058522,9.892760937364653,14.434529534785945,-0.3220712720317248,1.222976713699666,1194,1147,42641.75581651901,23174.205628465043,393.43198710991777,2341,0.020076890217855636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
