Date/Time,type,signal
11/22/2021 18:00,Exit Long,0
11/22/2021 12:00,Entry Long,1
11/22/2021 12:00,Exit Short,0
11/21/2021 22:00,Entry Short,2
11/21/2021 22:00,Exit Long,0
11/20/2021 0:00,Entry Long,1
11/20/2021 0:00,Exit Short,0
11/18/2021 16:00,Entry Short,2
11/16/2021 0:00,Exit Short,0
11/15/2021 16:00,Entry Short,2
11/8/2021 0:00,Exit Long,0
11/6/2021 20:00,Entry Long,1
11/6/2021 20:00,Exit Short,0
11/5/2021 14:00,Entry Short,2
11/5/2021 14:00,Exit Long,0
11/5/2021 4:00,Entry Long,1
10/15/2021 16:00,Exit Long,0
10/15/2021 2:00,Entry Long,1
10/15/2021 2:00,Exit Short,0
10/14/2021 20:00,Entry Short,2
10/14/2021 20:00,Exit Long,0
10/13/2021 14:00,Entry Long,1
10/13/2021 14:00,Exit Short,0
10/12/2021 14:00,Entry Short,2
10/12/2021 14:00,Exit Long,0
10/11/2021 2:00,Entry Long,1
10/11/2021 2:00,Exit Short,0
10/10/2021 22:00,Entry Short,2
10/10/2021 22:00,Exit Long,0
10/9/2021 14:00,Entry Long,1
9/28/2021 22:00,Exit Short,0
9/27/2021 22:00,Entry Short,2
9/27/2021 22:00,Exit Long,0
9/26/2021 8:00,Entry Long,1
9/26/2021 8:00,Exit Short,0
9/24/2021 10:00,Entry Short,2
9/20/2021 2:00,Exit Short,0
9/19/2021 10:00,Entry Short,2
9/19/2021 10:00,Exit Long,0
9/18/2021 4:00,Entry Long,1
9/18/2021 4:00,Exit Short,0
9/17/2021 18:00,Entry Short,2
9/17/2021 18:00,Exit Long,0
9/17/2021 4:00,Entry Long,1
9/17/2021 4:00,Exit Short,0
9/16/2021 12:00,Entry Short,2
9/16/2021 12:00,Exit Long,0
9/14/2021 12:00,Entry Long,1
9/14/2021 12:00,Exit Short,0
9/13/2021 16:00,Entry Short,2
9/7/2021 14:00,Exit Short,0
9/7/2021 8:00,Entry Short,2
9/7/2021 8:00,Exit Long,0
9/5/2021 20:00,Entry Long,1
9/2/2021 6:00,Exit Long,0
9/1/2021 12:00,Entry Long,1
9/1/2021 12:00,Exit Short,0
8/31/2021 20:00,Entry Short,2
8/31/2021 20:00,Exit Long,0
8/31/2021 12:00,Entry Long,1
8/31/2021 12:00,Exit Short,0
8/30/2021 4:00,Entry Short,2
8/30/2021 4:00,Exit Long,0
8/29/2021 22:00,Entry Long,1
8/29/2021 22:00,Exit Short,0
8/29/2021 4:00,Entry Short,2
8/29/2021 4:00,Exit Long,0
8/27/2021 14:00,Entry Long,1
8/27/2021 14:00,Exit Short,0
8/26/2021 4:00,Entry Short,2
8/26/2021 4:00,Exit Long,0
8/25/2021 14:00,Entry Long,1
8/25/2021 14:00,Exit Short,0
8/24/2021 0:00,Entry Short,2
8/24/2021 0:00,Exit Long,0
8/23/2021 2:00,Entry Long,1
8/20/2021 14:00,Exit Long,0
8/19/2021 14:00,Entry Long,1
8/19/2021 14:00,Exit Short,0
8/19/2021 4:00,Entry Short,2
8/14/2021 8:00,Exit Long,0
8/13/2021 6:00,Entry Long,1
8/13/2021 6:00,Exit Short,0
8/12/2021 6:00,Entry Short,2
8/6/2021 14:00,Exit Long,0
8/5/2021 16:00,Entry Long,1
8/5/2021 16:00,Exit Short,0
8/5/2021 10:00,Entry Short,2
8/2/2021 12:00,Exit Short,0
8/1/2021 16:00,Entry Short,2
8/1/2021 16:00,Exit Long,0
7/30/2021 22:00,Entry Long,1
7/26/2021 0:00,Exit Long,0
7/25/2021 22:00,Entry Long,1
7/25/2021 22:00,Exit Short,0
7/25/2021 14:00,Entry Short,2
7/25/2021 14:00,Exit Long,0
7/24/2021 0:00,Entry Long,1
7/20/2021 2:00,Exit Short,0
7/18/2021 16:00,Entry Short,2
7/8/2021 10:00,Exit Short,0
7/8/2021 0:00,Entry Short,2
6/21/2021 20:00,Exit Short,0
6/21/2021 8:00,Entry Short,2
6/13/2021 18:00,Exit Long,0
6/13/2021 14:00,Entry Long,1
6/8/2021 2:00,Exit Short,0
6/7/2021 22:00,Entry Short,2
5/16/2021 18:00,Exit Short,0
5/16/2021 18:00,Entry Short,2
5/10/2021 20:00,Exit Short,0
5/10/2021 14:00,Entry Short,2
5/10/2021 14:00,Exit Long,0
5/10/2021 2:00,Entry Long,1
4/30/2021 14:00,Exit Long,0
4/30/2021 8:00,Entry Long,1
4/22/2021 20:00,Exit Short,0
4/22/2021 0:00,Entry Short,2
4/18/2021 2:00,Exit Short,0
4/17/2021 14:00,Entry Short,2
4/17/2021 14:00,Exit Long,0
4/17/2021 4:00,Entry Long,1
4/13/2021 8:00,Exit Long,0
4/12/2021 6:00,Entry Long,1
4/12/2021 6:00,Exit Short,0
4/10/2021 20:00,Entry Short,2
4/10/2021 4:00,Exit Short,0
4/10/2021 2:00,Entry Short,2
4/10/2021 2:00,Exit Short,0
4/10/2021 2:00,Entry Short,2
4/10/2021 2:00,Exit Long,0
4/8/2021 6:00,Entry Long,1
4/8/2021 6:00,Exit Short,0
4/6/2021 14:00,Entry Short,2
4/6/2021 14:00,Exit Long,0
4/4/2021 16:00,Entry Long,1
4/4/2021 16:00,Exit Short,0
4/3/2021 18:00,Entry Short,2
3/23/2021 6:00,Exit Short,0
3/22/2021 18:00,Entry Short,2
3/22/2021 18:00,Exit Long,0
